home_team,away_team,home_score,away_score,year,round,weekday,day,month,game_type,venue,attendance
North Melbourne,Brisbane,104,137,1987,1,Fri,27,3,regular,MCG,14096
Western Bulldogs,Essendon,62,121,1987,1,Sat,28,3,regular,Waverley Park,22550
Carlton,Hawthorn,104,149,1987,1,Sat,28,3,regular,Princes Park,19967
Collingwood,Sydney,74,165,1987,1,Sat,28,3,regular,Victoria Park,17129
Melbourne,Fitzroy,128,89,1987,1,Sat,28,3,regular,MCG,18012
St Kilda,Geelong,101,102,1987,1,Sat,28,3,regular,Gold Coast Stadium,15867
West Coast,Richmond,133,119,1987,1,Sun,29,3,regular,Patersons Stadium,23897
North Melbourne,Melbourne,92,59,1987,2,Fri,3,4,regular,MCG,19035
Geelong,Brisbane,131,150,1987,2,Sat,4,4,regular,Skilled Stadium,15231
Collingwood,Carlton,107,114,1987,2,Sat,4,4,regular,Waverley Park,29481
Essendon,West Coast,119,114,1987,2,Sat,4,4,regular,North Hobart,19845
Fitzroy,St Kilda,159,115,1987,2,Sat,4,4,regular,Princes Park,11348
Richmond,Hawthorn,93,155,1987,2,Sat,4,4,regular,MCG,17824
Sydney,Western Bulldogs,187,79,1987,2,Sun,5,4,regular,SCG,15268
Fitzroy,North Melbourne,129,55,1987,3,Fri,10,4,regular,Waverley Park,10043
Richmond,Essendon,130,84,1987,3,Sat,11,4,regular,MCG,27528
St Kilda,Brisbane,133,83,1987,3,Sat,11,4,regular,Gold Coast Stadium,12717
Western Bulldogs,Carlton,40,127,1987,3,Sat,11,4,regular,Western Oval,14492
Hawthorn,Collingwood,145,68,1987,3,Sat,11,4,regular,Princes Park,14058
Geelong,Melbourne,128,94,1987,3,Sat,11,4,regular,Skilled Stadium,15397
West Coast,Sydney,97,124,1987,3,Sun,12,4,regular,Patersons Stadium,35719
Carlton,West Coast,191,104,1987,4,Sat,18,4,regular,Princes Park,20750
Geelong,North Melbourne,127,136,1987,4,Sat,18,4,regular,Skilled Stadium,18628
Melbourne,St Kilda,139,92,1987,4,Sat,18,4,regular,MCG,25465
Brisbane,Fitzroy,114,129,1987,4,Sun,19,4,regular,Gold Coast Stadium,17795
Collingwood,Richmond,110,100,1987,4,Mon,20,4,regular,Waverley Park,36749
Essendon,Sydney,113,66,1987,4,Mon,20,4,regular,North Hobart,24207
Western Bulldogs,Hawthorn,96,55,1987,4,Mon,20,4,regular,Western Oval,10425
North Melbourne,St Kilda,127,110,1987,5,Fri,24,4,regular,MCG,16078
Carlton,Essendon,116,62,1987,5,Sat,25,4,regular,Waverley Park,56124
Collingwood,Western Bulldogs,89,85,1987,5,Sat,25,4,regular,Victoria Park,22059
Geelong,Fitzroy,184,109,1987,5,Sat,25,4,regular,Skilled Stadium,18236
Hawthorn,West Coast,92,104,1987,5,Sat,25,4,regular,Princes Park,10588
Richmond,Sydney,126,146,1987,5,Sat,25,4,regular,MCG,22154
Brisbane,Melbourne,86,81,1987,5,Sun,26,4,regular,Gold Coast Stadium,7451
Sydney,Carlton,94,87,1987,6,Fri,1,5,regular,SCG,33659
Melbourne,Richmond,110,69,1987,6,Sat,2,5,regular,MCG,18482
Collingwood,Brisbane,105,58,1987,6,Sat,2,5,regular,Victoria Park,16712
Essendon,Geelong,96,96,1987,6,Sat,2,5,regular,North Hobart,16042
Western Bulldogs,St Kilda,78,34,1987,6,Sat,2,5,regular,Waverley Park,12834
Fitzroy,Hawthorn,104,113,1987,6,Sun,3,5,regular,MCG,18694
West Coast,North Melbourne,162,88,1987,6,Sun,3,5,regular,Patersons Stadium,28543
West Coast,Brisbane,81,62,1987,7,Fri,8,5,regular,WACA,25799
Carlton,Geelong,150,94,1987,7,Sat,9,5,regular,Waverley Park,31000
Melbourne,Collingwood,126,80,1987,7,Sat,9,5,regular,MCG,49215
Fitzroy,Essendon,159,134,1987,7,Sat,9,5,regular,Princes Park,14103
Western Bulldogs,North Melbourne,88,122,1987,7,Sat,9,5,regular,Western Oval,13395
St Kilda,Richmond,137,114,1987,7,Sat,9,5,regular,Gold Coast Stadium,14909
Sydney,Hawthorn,122,114,1987,7,Sun,10,5,regular,SCG,22273
Sydney,Fitzroy,87,116,1987,8,Fri,15,5,regular,SCG,24358
Collingwood,Essendon,68,94,1987,8,Sat,16,5,regular,Waverley Park,28085
Melbourne,Western Bulldogs,81,105,1987,8,Sat,16,5,regular,MCG,16325
Hawthorn,Geelong,112,65,1987,8,Sat,16,5,regular,Princes Park,9382
St Kilda,West Coast,97,49,1987,8,Sat,16,5,regular,Gold Coast Stadium,11537
Brisbane,Richmond,144,109,1987,8,Sun,17,5,regular,Gold Coast Stadium,7943
North Melbourne,Carlton,71,105,1987,8,Sun,17,5,regular,MCG,26684
Richmond,North Melbourne,94,128,1987,9,Fri,22,5,regular,MCG,14220
Western Bulldogs,Brisbane,103,71,1987,9,Sat,23,5,regular,Western Oval,10873
Carlton,Fitzroy,92,70,1987,9,Sat,23,5,regular,Princes Park,26965
Collingwood,St Kilda,105,99,1987,9,Sat,23,5,regular,Victoria Park,20076
Hawthorn,Essendon,165,51,1987,9,Sat,23,5,regular,Waverley Park,32634
Geelong,Sydney,104,79,1987,9,Sun,24,5,regular,Skilled Stadium,24817
West Coast,Melbourne,135,119,1987,9,Sun,24,5,regular,Patersons Stadium,23366
Carlton,Brisbane,184,81,1987,10,Sat,30,5,regular,Princes Park,13541
Essendon,Melbourne,80,102,1987,10,Sat,30,5,regular,North Hobart,13796
Western Bulldogs,Fitzroy,79,46,1987,10,Sat,30,5,regular,Western Oval,12722
Richmond,Geelong,97,118,1987,10,Sat,30,5,regular,MCG,16854
Hawthorn,St Kilda,154,98,1987,10,Sat,30,5,regular,Waverley Park,15535
Sydney,North Melbourne,136,145,1987,10,Sun,31,5,regular,SCG,20084
West Coast,Collingwood,137,80,1987,10,Mon,1,6,regular,Patersons Stadium,38274
St Kilda,Essendon,106,121,1987,11,Sat,6,6,regular,Gold Coast Stadium,23725
Western Bulldogs,West Coast,121,99,1987,11,Sat,6,6,regular,Western Oval,15089
North Melbourne,Hawthorn,91,113,1987,11,Sat,6,6,regular,Waverley Park,23606
Brisbane,Sydney,64,137,1987,11,Sun,7,6,regular,Gold Coast Stadium,12036
Melbourne,Carlton,90,135,1987,11,Mon,8,6,regular,MCG,49812
Geelong,Collingwood,115,110,1987,11,Mon,8,6,regular,Waverley Park,33150
Fitzroy,Richmond,123,149,1987,11,Mon,8,6,regular,Princes Park,12152
North Melbourne,Essendon,100,64,1987,12,Fri,12,6,regular,MCG,23944
Richmond,Western Bulldogs,74,142,1987,12,Sat,13,6,regular,Waverley Park,16279
Carlton,St Kilda,97,96,1987,12,Sat,13,6,regular,Princes Park,16238
Collingwood,Fitzroy,106,80,1987,12,Sat,13,6,regular,Victoria Park,17840
Geelong,West Coast,91,85,1987,12,Sat,13,6,regular,Skilled Stadium,17504
Melbourne,Sydney,76,112,1987,12,Sat,13,6,regular,MCG,21696
Brisbane,Hawthorn,70,165,1987,12,Sun,14,6,regular,Gold Coast Stadium,7284
West Coast,Fitzroy,114,42,1987,13,Fri,19,6,regular,WACA,13540
Richmond,Carlton,27,43,1987,13,Sat,20,6,regular,MCG,15916
Western Bulldogs,Geelong,89,50,1987,13,Sat,20,6,regular,Western Oval,15749
Hawthorn,Melbourne,44,57,1987,13,Sat,20,6,regular,Princes Park,7631
Collingwood,North Melbourne,18,72,1987,13,Sat,20,6,regular,Waverley Park,17613
Essendon,Brisbane,64,27,1987,13,Sat,20,6,regular,North Hobart,8724
Sydney,St Kilda,134,75,1987,13,Sun,21,6,regular,SCG,17760
Sydney,Collingwood,101,74,1987,14,Fri,26,6,regular,SCG,20133
Hawthorn,Carlton,80,79,1987,14,Sat,27,6,regular,Waverley Park,44385
Essendon,Western Bulldogs,52,64,1987,14,Sat,27,6,regular,North Hobart,17364
Fitzroy,Melbourne,82,34,1987,14,Sat,27,6,regular,Princes Park,7544
Geelong,St Kilda,98,27,1987,14,Sat,27,6,regular,Skilled Stadium,13661
Richmond,West Coast,73,69,1987,14,Sat,27,6,regular,MCG,8926
Brisbane,North Melbourne,113,151,1987,14,Sun,28,6,regular,Gold Coast Stadium,7716
West Coast,Essendon,118,146,1987,15,Fri,3,7,regular,WACA,15740
Hawthorn,Richmond,134,77,1987,15,Sat,4,7,regular,Princes Park,9708
St Kilda,Fitzroy,134,100,1987,15,Sat,4,7,regular,Gold Coast Stadium,15201
Western Bulldogs,Sydney,73,106,1987,15,Sat,4,7,regular,Waverley Park,27075
Melbourne,North Melbourne,110,112,1987,15,Sat,4,7,regular,MCG,17108
Brisbane,Geelong,119,78,1987,15,Sun,5,7,regular,Gold Coast Stadium,9370
Carlton,Collingwood,136,112,1987,15,Sun,5,7,regular,MCG,47813
West Coast,Carlton,107,104,1987,15,Fri,10,7,regular,WACA,21780
North Melbourne,Fitzroy,156,123,1987,15,Sat,11,7,regular,MCG,15244
Hawthorn,Western Bulldogs,162,65,1987,15,Sat,11,7,regular,Princes Park,13971
Essendon,Richmond,137,83,1987,15,Sat,11,7,regular,North Hobart,13593
Brisbane,St Kilda,93,121,1987,15,Sun,12,7,regular,Gold Coast Stadium,9106
North Melbourne,Geelong,79,176,1987,15,Sat,18,7,regular,MCG,20880
Carlton,Western Bulldogs,133,78,1987,15,Sat,18,7,regular,Princes Park,21388
Collingwood,Hawthorn,43,168,1987,15,Sat,18,7,regular,Victoria Park,17370
St Kilda,Melbourne,114,68,1987,15,Sat,18,7,regular,Waverley Park,20354
North Melbourne,Fitzroy,156,123,1987,16,Sat,11,7,regular,MCG,15244
Hawthorn,Western Bulldogs,162,65,1987,16,Sat,11,7,regular,Princes Park,13971
Essendon,Richmond,137,83,1987,16,Sat,11,7,regular,North Hobart,13593
Brisbane,St Kilda,93,121,1987,16,Sun,12,7,regular,Gold Coast Stadium,9106
North Melbourne,Geelong,79,176,1987,16,Sat,18,7,regular,MCG,20880
Carlton,Western Bulldogs,133,78,1987,16,Sat,18,7,regular,Princes Park,21388
