id,gender,age,condition,sample_size,n_obs,test_item,response
1,male,36,category,small,2,1,8
1,male,36,category,small,2,2,7
1,male,36,category,small,2,3,6
1,male,36,category,small,2,4,6
1,male,36,category,small,2,5,5
1,male,36,category,small,2,6,6
1,male,36,category,small,2,7,3
1,male,36,category,medium,6,1,9
1,male,36,category,medium,6,2,7
1,male,36,category,medium,6,3,5
1,male,36,category,medium,6,4,6
1,male,36,category,medium,6,5,4
1,male,36,category,medium,6,6,4
1,male,36,category,medium,6,7,2
1,male,36,category,large,12,1,8
1,male,36,category,large,12,2,7
1,male,36,category,large,12,3,6
1,male,36,category,large,12,4,6
1,male,36,category,large,12,5,4
1,male,36,category,large,12,6,1
1,male,36,category,large,12,7,2
2,male,46,category,small,2,1,7
2,male,46,category,small,2,2,5
2,male,46,category,small,2,3,5
2,male,46,category,small,2,4,5
2,male,46,category,small,2,5,5
2,male,46,category,small,2,6,5
2,male,46,category,small,2,7,5
2,male,46,category,medium,6,1,9
2,male,46,category,medium,6,2,9
2,male,46,category,medium,6,3,7
2,male,46,category,medium,6,4,7
2,male,46,category,medium,6,5,7
2,male,46,category,medium,6,6,7
2,male,46,category,medium,6,7,7
2,male,46,category,large,12,1,9
2,male,46,category,large,12,2,9
2,male,46,category,large,12,3,8
2,male,46,category,large,12,4,8
2,male,46,category,large,12,5,8
2,male,46,category,large,12,6,8
2,male,46,category,large,12,7,8
3,female,33,property,small,2,1,8
3,female,33,property,small,2,2,7
3,female,33,property,small,2,3,7
3,female,33,property,small,2,4,4
3,female,33,property,small,2,5,4
3,female,33,property,small,2,6,4
3,female,33,property,small,2,7,4
3,female,33,property,medium,6,1,6
3,female,33,property,medium,6,2,9
3,female,33,property,medium,6,3,8
3,female,33,property,medium,6,4,5
3,female,33,property,medium,6,5,2
3,female,33,property,medium,6,6,4
3,female,33,property,medium,6,7,0
3,female,33,property,large,12,1,8
3,female,33,property,large,12,2,9
3,female,33,property,large,12,3,9
3,female,33,property,large,12,4,2
3,female,33,property,large,12,5,1
3,female,33,property,large,12,6,0
3,female,33,property,large,12,7,1
4,female,71,property,small,2,1,6
4,female,71,property,small,2,2,7
4,female,71,property,small,2,3,6
4,female,71,property,small,2,4,6
4,female,71,property,small,2,5,3
4,female,71,property,small,2,6,1
4,female,71,property,small,2,7,3
4,female,71,property,medium,6,1,7
4,female,71,property,medium,6,2,8
4,female,71,property,medium,6,3,5
4,female,71,property,medium,6,4,3
4,female,71,property,medium,6,5,2
4,female,71,property,medium,6,6,1
4,female,71,property,medium,6,7,0
4,female,71,property,large,12,1,9
4,female,71,property,large,12,2,8
4,female,71,property,large,12,3,3
4,female,71,property,large,12,4,2
4,female,71,property,large,12,5,1
4,female,71,property,large,12,6,0
4,female,71,property,large,12,7,0
5,female,23,property,small,2,1,9
5,female,23,property,small,2,2,9
5,female,23,property,small,2,3,9
5,female,23,property,small,2,4,9
5,female,23,property,small,2,5,9
5,female,23,property,small,2,6,9
5,female,23,property,small,2,7,9
5,female,23,property,medium,6,1,9
5,female,23,property,medium,6,2,9
5,female,23,property,medium,6,3,9
5,female,23,property,medium,6,4,9
5,female,23,property,medium,6,5,9
5,female,23,property,medium,6,6,9
5,female,23,property,medium,6,7,9
5,female,23,property,large,12,1,9
5,female,23,property,large,12,2,9
5,female,23,property,large,12,3,9
5,female,23,property,large,12,4,9
5,female,23,property,large,12,5,9
5,female,23,property,large,12,6,9
5,female,23,property,large,12,7,9
6,female,31,category,small,2,1,7
6,female,31,category,small,2,2,7
6,female,31,category,small,2,3,7
6,female,31,category,small,2,4,8
6,female,31,category,small,2,5,8
6,female,31,category,small,2,6,9
6,female,31,category,small,2,7,9
6,female,31,category,medium,6,1,8
6,female,31,category,medium,6,2,9
6,female,31,category,medium,6,3,8
6,female,31,category,medium,6,4,7
6,female,31,category,medium,6,5,8
6,female,31,category,medium,6,6,8
6,female,31,category,medium,6,7,8
6,female,31,category,large,12,1,9
6,female,31,category,large,12,2,9
6,female,31,category,large,12,3,8
6,female,31,category,large,12,4,8
6,female,31,category,large,12,5,7
6,female,31,category,large,12,6,7
6,female,31,category,large,12,7,7
7,male,23,property,small,2,1,6
7,male,23,property,small,2,2,7
7,male,23,property,small,2,3,5
7,male,23,property,small,2,4,4
7,male,23,property,small,2,5,3
7,male,23,property,small,2,6,2
7,male,23,property,small,2,7,2
7,male,23,property,medium,6,1,8
7,male,23,property,medium,6,2,7
7,male,23,property,medium,6,3,5
7,male,23,property,medium,6,4,2
7,male,23,property,medium,6,5,2
7,male,23,property,medium,6,6,1
7,male,23,property,medium,6,7,0
7,male,23,property,large,12,1,8
7,male,23,property,large,12,2,7
7,male,23,property,large,12,3,6
7,male,23,property,large,12,4,2
7,male,23,property,large,12,5,1
7,male,23,property,large,12,6,1
7,male,23,property,large,12,7,0
8,female,31,property,small,2,1,4
8,female,31,property,small,2,2,4
8,female,31,property,small,2,3,2
8,female,31,property,small,2,4,4
8,female,31,property,small,2,5,4
8,female,31,property,small,2,6,4
8,female,31,property,small,2,7,4
8,female,31,property,medium,6,1,7
8,female,31,property,medium,6,2,8
8,female,31,property,medium,6,3,5
8,female,31,property,medium,6,4,3
8,female,31,property,medium,6,5,1
8,female,31,property,medium,6,6,2
8,female,31,property,medium,6,7,1
8,female,31,property,large,12,1,8
8,female,31,property,large,12,2,8
8,female,31,property,large,12,3,7
8,female,31,property,large,12,4,7
8,female,31,property,large,12,5,1
8,female,31,property,large,12,6,0
8,female,31,property,large,12,7,0
9,female,37,category,small,2,1,9
9,female,37,category,small,2,2,9
9,female,37,category,small,2,3,7
9,female,37,category,small,2,4,5
9,female,37,category,small,2,5,0
9,female,37,category,small,2,6,0
9,female,37,category,small,2,7,0
9,female,37,category,medium,6,1,9
9,female,37,category,medium,6,2,9
9,female,37,category,medium,6,3,3
9,female,37,category,medium,6,4,2
9,female,37,category,medium,6,5,0
9,female,37,category,medium,6,6,0
9,female,37,category,medium,6,7,0
9,female,37,category,large,12,1,9
9,female,37,category,large,12,2,8
9,female,37,category,large,12,3,1
9,female,37,category,large,12,4,0
