ID,Gender,Age,Sampling,SS2-R1,SS2-R2,SS2-R3,SS2-R4,SS2-R5,SS2-R6,SS2-R7,SS6-R1,SS6-R2,SS6-R3,SS6-R4,SS6-R5,SS6-R6,SS6-R7,SS12-R1,SS12-R2,SS12-R3,SS12-R4,SS12-R5,SS12-R6,SS12-R7
1,male,36,category,8,7,6,6,5,6,3,9,7,5,6,4,4,2,8,7,6,6,4,1,2
2,male,46,category,7,5,5,5,5,5,5,9,9,7,7,7,7,7,9,9,8,8,8,8,8
3,female,33,property,8,7,7,4,4,4,4,6,9,8,5,2,4,0,8,9,9,2,1,0,1
4,female,71,property,6,7,6,6,3,1,3,7,8,5,3,2,1,0,9,8,3,2,1,0,0
5,female,23,property,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
6,female,31,category,7,7,7,8,8,9,9,8,9,8,7,8,8,8,9,9,8,8,7,7,7
7,male,23,property,6,7,5,4,3,2,2,8,7,5,2,2,1,0,8,7,6,2,1,1,0
8,female,31,property,4,4,2,4,4,4,4,7,8,5,3,1,2,1,8,8,7,7,1,0,0
9,female,37,category,9,9,7,5,0,0,0,9,9,3,2,0,0,0,9,8,1,0,0,0,0
10,female,46,category,8,6,4,4,4,4,2,6,6,5,4,4,4,4,9,9,8,6,9,8,9
11,male,27,category,7,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
12,female,30,property,9,9,8,9,9,9,9,7,6,6,1,1,3,1,8,7,2,1,1,1,0
13,female,22,category,0,1,3,5,5,7,8,1,2,5,6,6,7,9,9,9,9,4,4,4,4
14,female,31,category,9,6,4,0,1,0,0,9,7,2,2,1,0,0,9,8,7,5,1,0,0
15,female,20,category,8,8,9,3,6,2,2,7,7,3,3,4,1,0,9,7,6,5,1,1,2
16,female,20,property,6,7,7,4,2,2,1,7,7,5,3,2,2,1,8,6,6,5,2,1,1
17,female,34,property,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,4,1,1,1,1
18,male,33,category,8,8,7,8,8,8,3,9,9,8,5,0,1,0,6,8,6,5,4,1,0
19,male,35,property,0,1,2,3,3,7,6,0,1,1,1,3,4,4,0,1,2,2,3,3,7
20,male,36,category,8,7,8,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
21,male,24,property,4,4,4,6,4,4,4,8,6,3,3,1,1,2,8,5,6,6,2,1,1
22,male,71,property,8,8,7,7,7,7,6,8,8,8,8,7,7,8,8,8,8,8,8,8,8
23,female,32,property,9,9,1,0,0,0,0,9,9,8,1,0,0,0,9,9,8,1,0,0,0
24,male,35,property,9,9,9,9,9,4,4,7,7,0,0,0,0,0,9,9,0,0,0,0,0
25,female,27,category,8,7,6,5,2,3,2,9,7,6,6,3,2,1,9,7,8,6,3,3,2
26,female,26,category,6,8,8,4,1,1,0,8,8,2,1,1,1,0,9,8,3,2,1,0,0
27,male,28,category,2,5,4,3,3,5,6,0,1,1,4,3,2,6,3,4,5,4,4,7,4
28,male,69,property,7,7,7,7,9,7,7,8,7,7,5,3,4,1,8,8,7,2,2,0,0
29,female,25,category,7,8,6,6,1,3,2,9,5,2,1,0,0,0,9,4,0,0,0,0,0
30,male,29,property,5,5,5,5,4,5,4,7,6,6,6,3,2,2,5,7,6,4,2,1,1
31,female,44,category,1,2,3,2,7,5,7,1,2,3,6,7,7,7,1,3,3,6,6,6,7
32,male,42,category,7,7,7,6,5,4,4,8,7,3,3,1,2,1,8,7,6,3,1,1,2
33,female,32,property,8,3,5,7,5,4,9,6,5,4,6,5,7,2,5,7,5,6,2,0,1
34,female,38,category,3,6,7,6,7,7,9,5,7,6,7,7,6,6,6,6,8,8,8,8,7
35,male,36,property,7,7,7,4,3,2,2,7,8,8,1,0,1,0,7,7,9,0,0,0,0
36,male,47,category,9,9,9,8,8,8,8,9,9,8,8,7,7,7,9,9,8,8,8,8,8
37,female,42,property,9,9,4,4,4,4,4,9,9,9,0,0,0,0,9,9,0,0,0,0,0
38,male,27,property,5,9,9,9,9,9,9,2,9,9,9,5,5,5,7,9,8,1,0,0,0
39,female,20,property,9,7,7,5,3,2,4,9,7,6,4,2,2,1,9,6,6,4,2,2,0
40,female,27,category,5,4,6,3,6,6,7,3,7,4,6,5,4,6,6,6,6,5,4,4,3
41,male,39,property,5,6,6,4,5,6,6,8,7,7,6,3,2,1,8,7,4,2,0,1,0
42,male,39,category,5,6,6,7,7,7,7,6,7,8,8,7,8,7,6,8,8,8,8,8,8
43,male,20,property,1,1,2,2,3,4,4,0,1,3,5,5,7,7,1,2,2,4,6,7,6
44,female,27,category,5,8,7,6,4,2,1,8,8,9,5,6,2,1,8,8,8,8,8,8,5
45,male,38,property,4,5,2,7,6,7,5,4,8,7,4,3,3,3,6,7,8,2,2,2,2
46,male,29,property,2,2,3,5,5,7,7,1,1,3,5,8,7,8,1,3,1,7,8,8,8
47,male,28,property,3,7,4,6,6,8,8,1,0,3,8,6,6,4,5,6,6,7,8,8,3
48,female,26,category,8,8,8,5,6,6,6,9,9,8,7,6,7,6,9,9,9,9,9,9,9
49,female,31,category,9,9,6,5,4,4,4,9,9,8,6,6,5,5,9,9,7,7,7,5,5
50,male,40,property,6,6,6,5,4,3,4,7,6,4,3,3,3,3,8,8,6,1,1,1,1
51,male,27,category,1,5,7,2,8,4,8,7,8,8,1,1,1,0,5,9,7,1,1,0,1
52,male,26,category,1,2,3,3,4,4,7,7,5,5,3,2,3,1,7,7,5,4,3,5,3
53,female,27,property,3,5,5,9,0,6,9,7,8,7,3,7,6,6,5,6,9,6,4,8,6
54,male,34,property,8,6,6,7,0,0,0,9,9,0,0,0,0,0,9,9,9,0,0,0,0
55,male,27,category,9,9,6,4,3,2,2,9,9,9,9,8,7,7,9,9,9,9,8,8,8
56,female,31,property,9,9,9,9,9,9,9,9,9,9,9,7,8,7,9,8,6,5,5,6,5
57,female,58,category,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
58,male,30,category,3,4,4,5,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,5,4
59,male,22,property,2,6,6,7,3,2,2,8,8,4,3,1,1,1,7,7,5,4,1,1,0
60,male,37,property,7,7,6,5,4,1,2,8,8,7,1,1,1,0,8,8,2,1,1,0,0
61,male,31,property,9,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
62,female,36,category,8,9,3,4,4,3,4,9,9,6,5,3,3,3,9,8,7,5,5,6,5
