Day no.,Date,,
196,110662,B,NW
197,120662,B,SE
198,140662,A,W
200,260562,A,0
202,180662,A,WSW
203,190662,B,SVV
208,150762,B,WSW
209,210762,A,W
210,220762,A,SSW
213,10862,B,WSW
217,60862,B,0
218,70862,ZE,0
221,160862,A,SSE
222,180862,A,0
223,210862,ZE,N
226,10962,B,WSW
227,30962,A,0
229,50962,A,SW
231,70962,A,SW
232,110962,ZE,NW
233,160962,A,NW
234,180962,B,NW
238,131062,ZE,ESE
240,220563,A,SW
241,230563,A,SSE
245,10663,B,S
247,30663,V,WSW
248,50663,V,SSW
249,60663,V,ESE22
251,80663,V,WSW19
253,100663,A,SW
256,150663,ZE,N
257,160663,ZE,E
261,280663,B,S
264,30763,B,SSE
265,40763,B,NE
268,70763,A,W
269,80763,A,WNW
274,260763,B,N
276,20863,ZE,W
279,90863,ZE,NNW
280,120863,A,SW
281,130863,ZE,WSW24
283,150863,ZE,SW
284,170863,ZE,SW
286,10963,B,SE
288,30963,A,0
289,50963,A,NW37
291,180963,V,E
292,190963,V,E
