feature,species,strength,epoch
sepal_length,setosa,1.827249592431323e-4,0
sepal_width,setosa,-2.1819962274967215e-4,0
petal_length,setosa,0.0017425457944474463,0
petal_width,setosa,-4.846299134730312e-4,0
context,setosa,3.0282835859192454e-4,0
sepal_length,versicolor,-0.0013377848230194604,0
sepal_width,versicolor,-2.684984030419759e-4,0
petal_length,versicolor,6.348244089993325e-5,0
petal_width,versicolor,-3.0165862101428267e-5,0
context,versicolor,-9.008333427745583e-4,0
sepal_length,virginica,-3.662073690906954e-4,0
sepal_width,virginica,-0.0014558201950913205,0
petal_length,virginica,8.639387830300941e-4,0
petal_width,virginica,4.874850635691642e-4,0
context,virginica,0.001955025383112555,0
sepal_length,setosa,-0.0319332424141445,1
sepal_width,setosa,0.06426842107197075,1
petal_length,setosa,-0.1939672979115884,1
petal_width,setosa,-0.08451785765790602,1
context,setosa,0.008528301460698799,1
sepal_length,versicolor,-0.07717752830909444,1
sepal_width,versicolor,-0.0806818288711821,1
petal_length,versicolor,0.007415022898683457,1
petal_width,versicolor,-7.695093968314625e-4,1
context,versicolor,-0.016421509030117697,1
sepal_length,virginica,-0.08518577954941525,1
sepal_width,virginica,-0.09873425957882294,1
petal_length,virginica,0.0956410506040682,1
petal_width,virginica,0.06022223049232506,1
context,virginica,-0.02739647271469282,1
sepal_length,setosa,0.012841576776895553,2
sepal_width,setosa,0.15583884218357752,2
petal_length,setosa,-0.3105867961451024,2
petal_width,setosa,-0.13938455776799588,2
context,setosa,0.02745974496550885,2
sepal_length,versicolor,-0.08412889715962675,2
sepal_width,versicolor,-0.11953890227385741,2
petal_length,versicolor,0.04786296987653892,2
petal_width,versicolor,0.00787508623971909,2
context,versicolor,-0.019338652683042298,2
sepal_length,virginica,-0.12842066532299826,2
sepal_width,virginica,-0.16186746811091646,2
petal_length,virginica,0.18986754944470985,2
petal_width,virginica,0.11628403650542465,2
context,virginica,-0.04740077595765366,2
sepal_length,setosa,0.04211948533714833,3
sepal_width,setosa,0.2279503749557783,3
petal_length,setosa,-0.41224394954676286,3
petal_width,setosa,-0.18631779796154507,3
context,setosa,0.04179995849032113,3
sepal_length,versicolor,-0.08696352789045475,3
sepal_width,versicolor,-0.152063610733696,3
petal_length,versicolor,0.08171121368739667,3
petal_width,versicolor,0.013199302200567862,3
context,versicolor,-0.020757928234962378,3
sepal_length,virginica,-0.16269202795604643,3
sepal_width,virginica,-0.21067816925652533,3
petal_length,virginica,0.2683161364397253,3
petal_width,virginica,0.1645130950568462,3
context,virginica,-0.06412847387883078,3
sepal_length,setosa,0.06643854454337525,4
sepal_width,setosa,0.28778616358726056,4
petal_length,setosa,-0.4958682307192091,4
petal_width,setosa,-0.22479080034729754,4
context,setosa,0.05363814549521692,4
sepal_length,versicolor,-0.09177751106226692,4
sepal_width,versicolor,-0.18221738001835305,4
petal_length,versicolor,0.10655060131538047,4
petal_width,versicolor,0.014581212688345507,4
context,versicolor,-0.02182037978712324,4
sepal_length,virginica,-0.19293359037835334,4
sepal_width,virginica,-0.25037563379525574,4
petal_length,virginica,0.3331821699977377,4
petal_width,virginica,0.20617085894853976,4
context,virginica,-0.07878124895956623,4
sepal_length,setosa,0.08311042600141536,5
sepal_width,setosa,0.3359379976630713,5
petal_length,setosa,-0.567874149048758,5
petal_width,setosa,-0.2574980547380883,5
context,setosa,0.06289182931325787,5
sepal_length,versicolor,-0.08961044537120016,5
sepal_width,versicolor,-0.20601638611960596,5
petal_length,versicolor,0.13001021576470534,5
petal_width,versicolor,0.014722690796313317,5
context,versicolor,-0.021232502229156517,5
sepal_length,virginica,-0.22221132739037075,5
sepal_width,virginica,-0.284435686854881,5
petal_length,virginica,0.386729079654436,5
petal_width,virginica,0.2426065436904504,5
context,virginica,-0.09221369445286916,5
sepal_length,setosa,0.10078965589071258,6
sepal_width,setosa,0.379045432376307,6
petal_length,setosa,-0.6272181022722839,6
petal_width,setosa,-0.2846918098065907,6
context,setosa,0.07139450759207334,6
sepal_length,versicolor,-0.08834803430921902,6
sepal_width,versicolor,-0.228116953708181,6
petal_length,versicolor,0.14836499475754936,6
petal_width,versicolor,0.012763698796971706,6
context,versicolor,-0.020354301823939304,6
sepal_length,virginica,-0.25213395971847663,6
sepal_width,virginica,-0.31510771514879576,6
petal_length,virginica,0.43064330365128795,6
petal_width,virginica,0.27451251412793354,6
context,virginica,-0.10498835942012937,6
sepal_length,setosa,0.1136203099017466,7
sepal_width,setosa,0.4151063793456157,7
petal_length,setosa,-0.6799904990203649,7
petal_width,setosa,-0.30861656143445887,7
context,setosa,0.0783210352313735,7
sepal_length,versicolor,-0.0904712826498919,7
sepal_width,versicolor,-0.25028763373117047,7
petal_length,versicolor,0.16043583336031703,7
petal_width,versicolor,0.008227332397608396,7
context,versicolor,-0.01972993144492979,7
sepal_length,virginica,-0.2733711089884052,7
sepal_width,virginica,-0.3387368957102801,7
petal_length,virginica,0.47417704984697046,7
petal_width,virginica,0.30542558548393095,7
context,virginica,-0.11571603364860233,7
sepal_length,setosa,0.12365248495040242,8
sepal_width,setosa,0.446211451433281,8
petal_length,setosa,-0.7270944958738752,8
petal_width,setosa,-0.32982599540556135,8
context,setosa,0.08419119640388584,8
sepal_length,versicolor,-0.08434012337132696,8
sepal_width,versicolor,-0.2668299136136673,8
petal_length,versicolor,0.17510527204333828,8
petal_width,versicolor,0.004216836577251521,8
context,versicolor,-0.017462607473005144,8
sepal_length,virginica,-0.29897541978903597,8
sepal_width,virginica,-0.36232384816524493,8
petal_length,virginica,0.509258658081527,8
petal_width,virginica,0.33277679023420675,8
context,virginica,-0.1266656675170207,8
sepal_length,setosa,0.1347128223045646,9
sepal_width,setosa,0.4751697444290417,9
petal_length,setosa,-0.7678503281070107,9
petal_width,setosa,-0.3483396585203247,9
context,setosa,0.08979987154687985,9
sepal_length,versicolor,-0.08477005295451369,9
sepal_width,versicolor,-0.2856899624689083,9
petal_length,versicolor,0.18319581570927915,9
petal_width,versicolor,-0.002160096385123165,9
context,versicolor,-0.01608048005558039,9
sepal_length,virginica,-0.3180697469304101,9
sepal_width,virginica,-0.38128008550723647,9
petal_length,virginica,0.5448281144897534,9
petal_width,virginica,0.3596196992866442,9
context,virginica,-0.13620052144624467,9
sepal_length,setosa,0.14272571665886188,10
sepal_width,setosa,0.5002035870787833,10
petal_length,setosa,-0.8056064121453909,10
petal_width,setosa,-0.36530655063224293,10
context,setosa,0.09450066361718312,10
sepal_length,versicolor,-0.07757406386491,10
sepal_width,versicolor,-0.299675895892915,10
petal_length,versicolor,0.1945445385857845,10
petal_width,versicolor,-0.007662414844082357,10
context,versicolor,-0.013265612859790006,10
sepal_length,virginica,-0.34133573381219423,10
sepal_width,virginica,-0.4009579984447481,10
petal_length,virginica,0.5738535923776564,10
petal_width,virginica,0.3837649324619467,10
context,virginica,-0.14609152091649058,10
